2020-03-07 05:14:18 	nullroot 	wei592628 	I am null_whoami
2020-03-07 05:16:20 	nullroot 	wei592628 	Mr. Wei, where is it probably?
2020-03-07 05:18:25 	nullroot 	wei592628 	Twitter has been under investigation for some time and has been under surveillance
2020-03-07 05:18:58 	wei592628 	nullroot 	Then I will find an account for you later and check it out for me
2020-03-07 05:19:17 	wei592628 	nullroot 	Is it convenient to make voice calls?
2020-03-07 05:33:38 	nullroot 	wei592628 	
2020-03-09 02:57:44 	wei592628 	nullroot 	Hello Mr. Zhou, I have a few numbers that I would like you to help me with
2020-03-09 02:58:28 	nullroot 	wei592628 	Mr. Wei, please send it to me
2020-03-09 02:59:23 	wei592628 	nullroot 	
2020-03-09 02:59:24 	wei592628 	nullroot 	
2020-03-09 02:59:25 	wei592628 	nullroot 	
2020-03-09 02:59:26 	wei592628 	nullroot 	
2020-03-09 02:59:27 	wei592628 	nullroot 	
2020-03-09 02:59:28 	wei592628 	nullroot 	
2020-03-09 02:59:29 	wei592628 	nullroot 	
2020-03-09 03:02:13 	wei592628 	nullroot 	All push accounts, the last one is the push account applied with g’s email address
2020-03-09 03:13:37 	nullroot 	wei592628 	Received
2020-03-09 03:13:56 	wei592628 	nullroot 	Thank you
2020-03-09 06:12:17 	wei592628 	nullroot 	Also, if I want to do something personal, How much funding does the book platform require and how long will it take? Currently, do you have any relatively mature and useful products? Can you send me a brief introduction document?
2020-03-09 09:21:50 	nullroot 	wei592628 	We haven’t studied too much about fb
2020-03-09 09:23:53 	nullroot 	wei592628 	Account TGtadie, phone: 18510867099, name: Wang Ning
2020-03-09 10:08:42 	wei592628 	nullroot 	Are there any others?
2020-03-09 10:15:58 	wei592628 	nullroot 	How much will it cost to promote this platform for purchasing?
2020-03-09 10:20:54 	nullroot 	wei592628 	The others are not included, this one is 50, 10,000 effective queries a year
2020-03-09 10:21:53 	wei592628 	nullroot 	If it is a single service, how much is it each time?
2020-03-09 10:26:20 	nullroot 	wei592628 	It hasn’t been sold yet once it arrives
2020-03-09 10:35:51 	wei592628 	nullroot 	After the epidemic is over, we will meet and chat in detail, and find out if there is any other extended information about that person
2020-03-09 10:36:28 	wei592628 	nullroot 	
2020-03-09 10:36:29 	wei592628 	nullroot 	Let this person see if there is any way to check
2020-03-09 10:37:31 	wei592628 	nullroot 	For fb, we want to start a project, so we came to you to find out the market situation
2020-03-09 10:51:02 	nullroot 	wei592628 	Have you checked this?
2020-03-09 10:54:10 	wei592628 	nullroot 	Okay, thank you, brother, I will contact you anytime if I need anything recently
2020-03-09 11:21:29 	nullroot 	wei592628 	[Hold fist]
2020-03-09 11:53:26 	wei592628 	nullroot 	I just finished reporting to the big boss. The boss asked me to write down today’s results first and then see the effect. In addition, a batch of about 100 pieces will be delivered to you recently. Take a look at the survival probability and accuracy, I hope you understand.
2020-03-09 12:00:18 	nullroot 	wei592628 	There are too many and the company’s processes are blocked
2020-03-09 12:43:00 	wei592628 	nullroot 	Approximately how many are within your range? The boss also wants to see the effect
2020-03-09 14:23:06 	nullroot 	wei592628 	The conventional success rate is between 20 and 30%
2020-03-09 14:25:27 	wei592628 	nullroot 	Okay, thank you. I will report to the big boss tomorrow. If he still wants us to try it together, I will tell you again.
2020-03-09 14:25:56 	nullroot 	wei592628 	Okay
2020-03-09 14:26:47 	wei592628 	nullroot 	I'll try my best to tell the boss that the test will be within 20 accounts, so it won't be too difficult for you, right?
2020-03-09 14:27:29 	nullroot 	wei592628 	Didn’t I take the test today [呲ya]
2020-03-09 14:31:04 	wei592628 	nullroot 	Haha, hasn’t this finally reached real people? There is still a next stage from online to online, including the final effect. Today's report, the big boss clearly proposed to find several units to provide some accounts, and see if they can get several to be carried out at the same time, so that they can be realistic and measure the final results. He has to change his thinking, technology changes life [bad laugh]
2020-03-09 14:31:34 	nullroot 	wei592628 	Hmm
2020-03-09 14:32:00 	wei592628 	nullroot 	Thanks bro. We still have to look forward to opportunities for multi-faceted cooperation in the future
2020-03-09 14:32:53 	nullroot 	wei592628 	Good leadership
2020-03-09 14:33:23 	wei592628 	nullroot 	We are all brothers, don’t say that, I was forced to do nothing by the big boss [hold fists]
2020-03-10 02:29:19	wei592628 	nullroot 	Brother, excuse me, are you doing any research on the relationship between two websites? I have several websites here, which seem to be related at present, but there is no technical support and I cannot find their specific relationship. See if you are involved in this business
2020-03-10 02:50:26 	nullroot 	wei592628 	I have done some target research reports for other AQs before
2020-03-10 02:55:41 	wei592628 	nullroot 	
2020-03-10 02:59:01 	wei592628 	nullroot 	I will sort out the relevant situation of several websites in a while. Can you see if they can make a research report there? The Wang line has been verified at the same time
2020 -03-10 02:59:37 	nullroot 	wei592628 	Is there any previous reference report? I will know if I can do it after taking a look at it
2020-03-10 03:02:49 	wei592628 	nullroot 	No, I will sort it out in a moment. You can see if you can do it first
2020-03-10 03:03:27 	nullroot 	wei592628 	Okay
2020-03-10 03:32:12 	wei592628 	nullroot 	
2020-03-10 03:32:34 	wei592628 	nullroot 	Can you see if this can be done
2020-03-10 03:34:03 	wei592628 	nullroot 	Be as detailed as possible, time is not too urgent. Please see if you can make it first
2020-03-10 03:34:46 	nullroot 	wei592628 	The second item is not a big problem, the first item is more difficult
2020-03-10 03:35:22 	nullroot 	wei592628 	Establish cooperation first, these are all easy to talk about [呲ya]
2020-03-10 03:41:23 	wei592628 	nullroot 	Okay, make a list of the specific tasks you can do and send it to me so I can report it to my boss.
2020-03-10 03:42:12 	wei592628 	nullroot 	
2020-03-10 03:42:24 	wei592628 	nullroot 	Also, can this website be used?
2020-03-10 03:43:15 	nullroot 	wei592628 	We generally do project packaging, not individual services
2020-03-10 03:43:58 	nullroot 	wei592628 	It’s too tiring to do it one by one
2020-03-10 03:46:36 	wei592628 	nullroot 	Okay, I also want to do service packaging
2020-03-10 03:46:45 	wei592628 	nullroot 	How much in a year?
2020-03-10 03:47:37 	nullroot 	wei592628 	Usually a few hundred
2020-03-10 03:47:45 	wei592628 	nullroot 	We will report in the afternoon, please give me a brief list of what can be done and how much each item costs
2020-03-10 03:47:46 	nullroot 	wei592628 	We will discuss it mainly based on the specific content
2020-03-10 03:52:27 	wei592628 	nullroot 	
2020-03-10 04:07:45 	nullroot 	wei592628 	
2020-03-10 04:17:55 	wei592628 	nullroot 	Received
2020-03-10 07:22:08 	wei592628 	nullroot 	
2020-03-10 07:25:51 	wei592628 	nullroot 	Brother, send a copy of your company profile and product profile, I will use it to write a report
2020-03-10 07:34:20 	nullroot 	wei592628 	Okay, something happened.
2020-03-10 07:34:41 	wei592628 	nullroot 	It’s okay, thank you, sorry to trouble you
2020-03-10 08:39:47 	wei592628 	nullroot 	Brother, can you see the email address bound to the account yesterday? Or can you see the private messages in the account?
2020-03-10 08:44:20 	nullroot 	wei592628 	The invisible one
2020-03-10 08:44:56 	wei592628 	nullroot 	Can’t see my email address when registering?
2020-03-10 08:46:26 	nullroot 	wei592628 	Yes
2020-03-10 08:46:39 	wei592628 	nullroot 	👌
2020-03-10 08:46:56 	nullroot 	wei592628 	Have you found the person?
2020-03-10 08:47:28 	wei592628 	nullroot 	Not yet, check the peripherals first
2020-03-10 08:47:38 	nullroot 	wei592628 	Basically no problem
2020-03-10 08:48:01 	wei592628 	nullroot 	It is necessary to determine whether the account or the mobile phone number is currently used
2020-03-11 03:17:23 	nullroot 	wei592628 	An Xun.7z
2020-03-11 03: 17:29 	nullroot 	wei592628 	
2020-03-11 03:17:43 	nullroot 	wei592628 	Mr. Wei, please check
2020-03-11 03:17:51 	wei592628 	nullroot 	👌
2020-03-11 03:22:25 	wei592628 	nullroot 	
2020-03-11 03:25:07 	nullroot 	wei592628 	It seems like it can’t be opened
2020-03-11 03:25:21 	wei592628 	nullroot 	Which one can be opened overseas
2020-03-11 03:25:30 	wei592628 	nullroot 	It is a website of East Turkistan
2020-03-16 11:19:33 	wei592628 	nullroot 	Brother, the previous account was found. The mobile phone number has changed several owners, and the current recommended user is not this person. Do you have any other evidence to prove it?
2020-03-16 11:49:04 	nullroot 	wei592628 	The only thing that can be confirmed is that the mobile phone number bound to twitter is correct
2020-03-17 00:56:55 	wei592628 	nullroot 	The mobile phone number was indeed correct when registering. It is estimated that the account recommended has been logged in through email. I read the introduction before, I remember that your system has the function of checking his private messages
2020-03-17 02:12:21 	nullroot 	wei592628 	The private message function needs further development
2020-03-17 02:14:22 	wei592628 	nullroot 	If I buy a service, is it included in the service? One thousand valid queries
2020-03-17 02:16:48 	nullroot 	wei592628 	This is not available
2020-03-17 02:17:05 	nullroot 	wei592628 	Different functional modules
2020-03-17 02:17:37 	wei592628 	nullroot 	Does this feature require a separate fee?
2020-03-17 02:18:33 	nullroot 	wei592628 	Correct
2020-03-17 02:22:10 	wei592628 	nullroot 	The one you recommended includes 1,000 services, plus the total number of services per year💰
2020-03-17 02:57:09 	nullroot 	wei592628 	The private message module is sold as a product
2020-03-17 12:09:01 	wei592628 	nullroot 	I know, I am doing a budget recently, and I would like to know about your system, which includes all the relevant modules recommended in the manual. How much does it cost in a year? The number of inquiries is calculated as 1,000 times.
2020-03-18 03:03:14 	nullroot 	wei592628 	If matched like this, 40 [fist]
2020-03-18 03:51:59 	wei592628 	nullroot 	How much does it cost to do business on a website alone? Just get the logs
2020-03-18 04:01:57 	nullroot 	wei592628 	Need specific goals and specific evaluation
2020-03-18 04:02:26 	wei592628 	nullroot 	Approximately, I will make a budget together
2020-03-18 04:05:22 	nullroot 	wei592628 	From 50
2020-03-18 04:11:37 	wei592628 	nullroot 	Just one costs 50?
2020-03-18 04:14:25 	nullroot 	wei592628 	Let’s report it like this first, in fact we don’t provide this kind of service
2020-03-18 04:14:41 	wei592628 	nullroot 	👌, I understand.
2020-03-18 04:14:42 	nullroot 	wei592628 	Do it one by one, lose money [cover face]
2020-03-18 04:15:10 	wei592628 	nullroot 	We also want to package it and discuss it after the epidemic is over
2020-03-18 04:16:09 	nullroot 	wei592628 	Well, let’s report the budget first, and we’ll talk about the rest later
2020-03-18 04:17:04 	wei592628 	nullroot 	Okay, no problem, thank you. I sent the website last time. Is it possible to make it happen?
